0,"NAF1",old,"NAF2",new,Précisions sur la nature du lien,Commentaires  ,"Date 
modification","NAF 2
N liens","NAF 1
N liens",NAF 2 rang lien,NAF 1 rang lien
305,26.2G,Fabrication d'autres produits céramiques à usage technique,23.44Zp,Fabrication d'autres produits céramiques à usage technique,,,,1,0,1,1
307,26.2J,Fabrication d'autres produits céramiques,23.49Z,Fabrication d'autres produits céramiques,,,,0,0,1,1
297,26.2L,Fabrication de produits céramiques réfractaires,23.20Z,Fabrication de produits réfractaires,,,,0,0,1,1
298,26.3Z,Fabrication de carreaux en céramique,23.31Z,Fabrication de carreaux en céramique,,,,0,0,1,1
299,26.4A,Fabrication de briques,23.32Zp,"Fabrication de briques, tuiles et produits de construction, en terre cuite",,,,1,0,1,1
300,26.4B,Fabrication de tuiles,23.32Zp,"Fabrication de briques, tuiles et produits de construction, en terre cuite",,,,1,0,2,1
301,26.4Cp,Fabrication de produits divers en terre cuite,23.32Zp,"Fabrication de briques, tuiles et produits de construction, en terre cuite","CC : tout sauf NC
NC installation (CPA 02 : 26.40.91) et réparation (CPA 02 : 26.40.92)",,,1,1,3,1
639,26.4Cp,Fabrication de produits divers en terre cuite,33.19Zp,Réparation d'autres équipements,CA : réparation (CPA 02 : 26.40.92),,,1,1,9,2
687,26.4Cp,Fabrication de produits divers en terre cuite,33.20Dp,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",CA : installation (CPA 02 : 26.40.91),,,1,1,4,3
308,26.5A,Fabrication de ciment,23.51Z,Fabrication de ciment,,,,0,0,1,1
309,26.5C,Fabrication de chaux,23.52Zp,Fabrication de chaux et plâtre,,,,1,0,1,1
310,26.5E,Fabrication de plâtre,23.52Zp,Fabrication de chaux et plâtre,,,,1,0,2,1
311,26.6A,Fabrication d'éléments en béton pour la construction,23.61Z,Fabrication d'éléments en béton pour la construction,,,,0,0,1,1
312,26.6C,Fabrication d'éléments en plâtre pour la construction,23.62Z,Fabrication d'éléments en plâtre pour la construction,,,,0,0,1,1
313,26.6E,Fabrication de béton prêt à l'emploi,23.63Z,Fabrication de béton prêt à l'emploi,,,,0,0,1,1
314,26.6G,Fabrication de mortiers et bétons secs,23.64Z,Fabrication de mortiers et bétons secs,,,,0,0,1,1
315,26.6J,Fabrication d'ouvrages en fibre-ciment,23.65Z,Fabrication d'ouvrages en fibre-ciment,,,,0,0,1,1
316,26.6L,Fabrication d'autres ouvrages en béton ou en plâtre,23.69Z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre",,,,0,0,1,1
317,26.7Z,"Taille, façonnage et finissage de pierres ornementales et de construction",23.70Z,"Taille, façonnage et finissage de pierres","CC : tout, dont fabrication de mobilier en pierre (CPA 02 : 26.70.12p)",,,0,0,1,1
318,26.8Ap,Fabrication de produits abrasifs,23.91Z,Fabrication de produits abrasifs,"CC : tout sauf NC
NC : installation et réparation (CPA 02 : 26.81.90)",,,0,1,1,1
640,26.8Ap,Fabrication de produits abrasifs,33.19Zp,Réparation d'autres équipements,CA : réparation                                             ,,,1,1,10,2
688,26.8Ap,Fabrication de produits abrasifs,33.20Dp,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",CA : installation  (CPA 02 : 26.81.90p),,,1,1,5,3
319,26.8C,Fabrication de produits minéraux non métalliques n.c.a.,23.99Z,Fabrication d'autres produits minéraux non métalliques n.c.a.,,,,0,0,1,1
320,27.1Y,Sidérurgie,24.10Z,Sidérurgie,,,,0,0,1,1
336,27.2Ap,Fabrication de tubes en fonte,24.51Zp,Fonderie de fonte,"CC : tout sauf NC
NC: - fabrication de tubes et tuyaux en acier sans soudure coulés par centrifugation 
- fabrication d’accessoires de tuyauterie en fonte d’acier",,,1,1,1,1
338,27.2Ap,Fabrication de tubes en fonte,24.52Zp,Fonderie d'acier,"CA : - fabrication de tubes et tuyaux en acier sans soudure coulés par centrifugation 
- fabrication d’accessoires de tuyauterie en fonte d’acier
",,,1,1,1,2
321,27.2C,Fabrication de tubes en acier,24.20Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ",,,,0,0,1,1
322,27.3A,Étirage à froid,24.31Z,Étirage à froid de barres,,,,0,0,1,1
323,27.3C,Laminage à froid de feuillards,24.32Z,Laminage à froid de feuillards,,,,0,0,1,1
324,27.3E,Profilage à froid par formage ou pliage,24.33Zp,Profilage à froid par formage ou pliage,,,,1,0,1,1
326,27.3G,Tréfilage à froid,24.34Z,Tréfilage à froid,,,,0,0,1,1
327,27.4A,Production de métaux précieux,24.41Z,Production de métaux précieux,,,,0,0,1,1
328,27.4C,Production d'aluminium,24.42Zp,Métallurgie de l'aluminium,,,,1,0,1,1
329,27.4D,Première transformation de l'aluminium,24.42Zp,Métallurgie de l'aluminium,,,,1,0,2,1
330,27.4F,"Production de plomb, de zinc ou d'étain",24.43Zp,"Métallurgie du plomb, du zinc ou de l'étain",,,,1,0,1,1
331,27.4G,"Première transformation du plomb, du zinc ou de l'étain",24.43Zp,"Métallurgie du plomb, du zinc ou de l'étain",,,,1,0,2,1
332,27.4J,Production de cuivre,24.44Zp,Métallurgie du cuivre,,,,1,0,1,1
333,27.4K,Première transformation du cuivre,24.44Zp,Métallurgie du cuivre,,,,1,0,2,1
334,27.4M,Métallurgie des autres métaux non ferreux,24.45Z,Métallurgie des autres métaux non ferreux,,,,0,0,1,1
337,27.5A,Fonderie de fonte,24.51Zp,Fonderie de fonte,,,,1,0,2,1
339,27.5C,Fonderie d'acier,24.52Zp,Fonderie d'acier,,,,1,0,2,1
340,27.5E,Fonderie de métaux légers,24.53Z,Fonderie de métaux légers,,,,0,0,1,1
341,27.5G,Fonderie d'autres métaux non ferreux,24.54Z,Fonderie d'autres métaux non ferreux,,,,0,0,1,1
325,28.1Ap,Fabrication de constructions métalliques,24.33Zp,Profilage à froid par formage ou pliage,"CA : fabrication de panneaux ""sandwich"" en tôle d'acier revêtue (CPA 02 : 28.11.23p)",,,1,1,2,1
342,28.1Ap,Fabrication de constructions métalliques,25.11Z,Fabrication de structures métalliques et de parties de structures,"CC : tout sauf NC
NC : - fabrication de panneaux ""sandwich"" en tôle d'acier revêtue (CPA 02 : 28.11.23p)
- installation (CPA 02 : 28.11.91, réparations (CPA 02 : 28.11.92)
- suppression de la règle conventionnelle affectant en industrie la pose de structures métalliques  fabriquées par l'entreprise (CPA 02 : 28.11.91)",,,0,1,1,2
553,28.1Ap,Fabrication de constructions métalliques,33.11Zp,Réparation d'ouvrages en métaux,CA : réparations (CPA 02 : 28.11.92),,,1,1,1,3
787,28.1Ap,Fabrication de constructions métalliques,43.99Bp,Travaux de montage de structures métalliques,CA :- suppression de la règle conventionnelle affectant en industrie la pose de structures métalliques fabriquées par l'entreprise (CPA 02 : 28.11.91),,,1,1,1,4
343,28.1Cp,Fabrication de menuiseries et fermetures métalliques,25.12Z,Fabrication de portes et fenêtres en métal,"CC : tout sauf NC
NC : - installation (CPA 02 : 28.12.90)
-  suppression de la règle conventionnelle affectant en industrie la pose de menuiseries et fermetures métalliques fabriquées par l'entreprise (CPA 02 : 28.12.90)",,,0,1,1,1
776,28.1Cp,Fabrication de menuiseries et fermetures métalliques,43.32Bp,Travaux de menuiserie métallique et serrurerie,CA : suppression de la règle conventionnelle affectant en industrie la pose de menuiseries et fermetures métalliques fabriquées par l'entreprise (CPA 02 : 28.12.90),,,1,1,1,2
345,28.2Cp,"Fabrication de réservoirs, citernes et conteneurs métalliques",25.29Z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques","CC : tout sauf NC
NC : installation (CPA 02 : 28.21.91), réparations (CPA 02 : 28.21.92)",,,0,1,1,1
554,28.2Cp,"Fabrication de réservoirs, citernes et conteneurs métalliques",33.11Zp,Réparation d'ouvrages en métaux,CA : réparations (CPA 02 : 28.21.92),,,1,1,2,2
643,28.2Cp,"Fabrication de réservoirs, citernes et conteneurs métalliques",33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.21.91),,,1,1,1,3
344,28.2Dp,Fabrication de radiateurs et de chaudières pour le chauffage central,25.21Z,Fabrication de radiateurs et de chaudières pour le chauffage central,"CC : tout sauf NC
NC : installation (CPA 02 : 28.22.91), réparations (CPA 02 : 28.22.92)",,,0,1,1,1
555,28.2Dp,Fabrication de radiateurs et de chaudières pour le chauffage central,33.11Zp,Réparation d'ouvrages en métaux,CA : réparations (CPA 02 : 28.22.92) ,,,1,1,3,2
644,28.2Dp,Fabrication de radiateurs et de chaudières pour le chauffage central,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.22.91),,,1,1,2,3
346,28.3Ap,Fabrication de générateurs de vapeur,25.30Zp,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","CC : tout sauf NC                                                                                                                                 NC : installation (CPA 02 : 28.30.91p), réparations (CPA 02 : 28.30.92p)                                                                                         ",,,1,1,1,1
556,28.3Ap,Fabrication de générateurs de vapeur,33.11Zp,Réparation d'ouvrages en métaux,CA : réparations (CPA 02 : 28.30.92p),,,1,1,4,2
645,28.3Ap,Fabrication de générateurs de vapeur,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.30.91p),,,1,1,3,3
347,28.3Bp,Chaudronnerie nucléaire,25.30Zp,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","CC : tout sauf NC 
NC : installation (CPA 02 : 28.30.91p), réparations (CPA 02 : 28.30.92p)",,,1,1,2,1
557,28.3Bp,Chaudronnerie nucléaire,33.11Zp,Réparation d'ouvrages en métaux,CA : réparations (CPA 02 : 28.30.92p),,,1,1,5,2
646,28.3Bp,Chaudronnerie nucléaire,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.30.91p),,,1,1,4,3
558,28.3Cp,Chaudronnerie-tuyauterie,33.11Zp,Réparation d'ouvrages en métaux,CA : réparations (CPA 02 : 28.30.92p),,,1,1,6,1
647,28.3Cp,Chaudronnerie-tuyauterie,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.30.91p),,,1,1,5,2
350,28.4A,"Forge, estampage, matriçage",25.50Ap,"Forge, estampage, matriçage ; métallurgie des poudres",,,,1,0,1,1
352,28.4B,"Découpage, emboutissage",25.50B,"Découpage, emboutissage",,,,0,0,1,1
351,28.4C,Métallurgie des poudres,25.50Ap,"Forge, estampage, matriçage ; métallurgie des poudres",,,,1,0,2,1
353,28.5A,Traitement et revêtement des métaux,25.61Z,Traitement et revêtement des métaux,,,,0,0,1,1
354,28.5C,Décolletage,25.62A,Décolletage,,,,0,0,1,1
355,28.5Dp,Mécanique générale,25.62B,Mécanique industrielle,"CC : tout sauf NC
NC : réparation et maintenance de  pièces métalliques et de machines (CPA 02 : 28.52.20p)",,,0,1,1,1
559,28.5Dp,Mécanique générale,33.11Zp,Réparation d'ouvrages en métaux,CA : réparation et maintenance de pièces métalliques (CPA 02 : 28.52.20p) ,,,1,1,7,2
572,28.5Dp,Mécanique générale,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation et maintenance de machines (CPA 02 : 28.52.20p) ,,,1,1,1,3
356,28.6Ap,Fabrication de coutellerie,25.71Zp,Fabrication de coutellerie,"CC : tout sauf NC 
NC :  réparation",,,1,1,1,1
560,28.6Ap,Fabrication de coutellerie,33.11Zp,Réparation d'ouvrages en métaux,CA : réparation ,,,1,1,8,2
360,28.6Cp,Fabrication d'outillage à main,25.73Bp,Fabrication d'autres outillages,"CC : tout sauf NC 
NC : réparation (CPA 02 : 28.62.90p)                                                        ",,,1,1,1,1
561,28.6Cp,Fabrication d'outillage à main,33.11Zp,Réparation d'ouvrages en métaux,CA :  réparation (CPA 02 : 28.62.90p) ,,,1,1,9,2
361,28.6Dp,Fabrication d'outillage mécanique,25.73Bp,Fabrication d'autres outillages,"CC : tout (CPA 02 : 28.62.10 et .30) sauf NC                                                                           NC : - outillage interchangeable de taillage des engrenages et pour l'usinage des métaux (CPA 02 : 28.62.40p)
- réparation (CPA 02 : 28.62.90p)                                                        ",,,1,1,2,1
459,28.6Dp,Fabrication d'outillage mécanique,28.49Zp,Fabrication d'autres machines-outils ,CA :  outillage interchangeable de taillage des engrenages et pour l'usinage des métaux (CPA 02 : 28.62.40p),,,1,1,1,2
562,28.6Dp,Fabrication d'outillage mécanique,33.11Zp,Réparation d'ouvrages en métaux,CA :  réparation (CPA 02 : 28.62.90p) ,,,1,1,10,3
358,28.6Fp,Fabrication de serrures et de ferrures,25.72Z,Fabrication de serrures et de ferrures,"CC : tout sauf NC 
NC : installation et réparation (CPA 02 : 28.63.90)",,,0,1,1,1
563,28.6Fp,Fabrication de serrures et de ferrures,33.11Zp,Réparation d'ouvrages en métaux,CA : réparation (CPA 02 : 28.63.90p),,,1,1,11,2
648,28.6Fp,Fabrication de serrures et de ferrures,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.63.90p),,,1,1,6,3
362,28.7Ap,Fabrication de fûts et emballages métalliques similaires,25.91Z,Fabrication de fûts et emballages métalliques similaires,"CC: tout sauf NC 
NC : installation et réparation (CPA 02 : 28.71.90)",,,0,1,1,1
564,28.7Ap,Fabrication de fûts et emballages métalliques similaires,33.11Zp,Réparation d'ouvrages en métaux,CA : réparation (CPA 02 : 28.71.90p),,,1,1,12,2
649,28.7Ap,Fabrication de fûts et emballages métalliques similaires,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.71.90p),,,1,1,7,3
363,28.7C,Fabrication d'emballages métalliques légers,25.92Z,Fabrication d'emballages métalliques légers,,,,0,0,1,1
364,28.7E,Fabrication d'articles en fils métalliques,25.93Zp,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,,,1,0,1,1
367,28.7G,Visserie et boulonnerie,25.94Z,Fabrication de vis et de boulons,,,,0,0,1,1
365,28.7H,Fabrication de ressorts,25.93Zp,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,,,1,0,2,1
366,28.7J,Fabrication de chaînes,25.93Zp,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,,,1,0,3,1
368,28.7Lp,Fabrication d'articles métalliques ménagers,25.99A,Fabrication d'articles métalliques ménagers,"CC : tout sauf NC 
NC : installation et réparation (CPA 02 : 28.75.90p)               ",,,0,1,1,1
565,28.7Lp,Fabrication d'articles métalliques ménagers,33.11Zp,Réparation d'ouvrages en métaux,CA: réparation (CPA 02 : 28.75.90p),,,1,1,13,2
650,28.7Lp,Fabrication d'articles métalliques ménagers,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA: installation (CPA 02 : 28.75.90p),,,1,1,8,3
369,28.7Np,Fabrication de petits articles métalliques,25.99Bp,Fabrication d'autres articles métalliques,"CC : tout sauf NC
NC : réparation (CPA 02 : 28.75.90p)               ",,,1,1,1,1
566,28.7Np,Fabrication de petits articles métalliques,33.11Zp,Réparation d'ouvrages en métaux,CA : réparation (CPA 02 : 28.75.90p)   ,,,1,1,14,2
357,28.7Qp,Fabrication d'articles métalliques divers,25.71Zp,Fabrication de coutellerie,CA : fabrication d'armes blanches (CPA 02 : 28.75.30)                           ,,,1,1,2,1
370,28.7Qp,Fabrication d'articles métalliques divers,25.99Bp,Fabrication d'autres articles métalliques,"CC : tout sauf NC 
NC : - fabrication d'armes blanches (CPA 02 : 28.75.30)
- réparation (CPA 02 : 28.75.90p)       ",,,1,1,2,2
567,28.7Qp,Fabrication d'articles métalliques divers,33.11Zp,Réparation d'ouvrages en métaux,CA : réparation (CPA 02 : 28.75.90p)   ,,,1,1,15,3
651,28.7Qp,Fabrication d'articles métalliques divers,33.20Ap,"Installation de structures métalliques, chaudronnées et de tuyauterie",CA : installation (CPA 02 : 28.75.90p)   ,,,1,1,9,4
428,29.1Ap,Fabrication de moteurs et turbines,28.11Zp,"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules","CC : tout, dont turbines éoliennes, sauf NC                                                                                                                                                         NC : installation (CPA 02 : 29.11.91), réparation (CPA 02 : 29.11.92)",,,1,1,1,1
573,29.1Ap,Fabrication de moteurs et turbines,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.11.92),,,1,1,2,2
653,29.1Ap,Fabrication de moteurs et turbines,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.11.91),,,1,1,1,3
430,29.1Bp,Fabrication de pompes,28.12Zp,Fabrication d'équipements hydrauliques et pneumatiques,"CA : roues hydrauliques
NC :  installation (CPA 02 : 29.12.91p), réparations (CPA 02 : 29.12.92p)",,,1,1,1,1
433,29.1Bp,Fabrication de pompes,28.13Zp,Fabrication d'autres pompes et compresseurs,"CC : tout, y compris fabrication de pompes pour les moteurs à combustion interne telles que pompes à eau et à essence de véhicules à moteur, sauf NC                                                                                             NC :   - roues hydrauliques
- installation (CPA 02 : 29.12.91p), réparations (CPA 02 : 29.12.92p)",,,1,1,1,2
574,29.1Bp,Fabrication de pompes,33.12Zp,Réparation de machines et équipements mécaniques,CA :  réparation (CPA 02 : 29.12.92p),,,1,1,3,3
654,29.1Bp,Fabrication de pompes,33.20Bp,Installation de machines et équipements mécaniques,CA :  installation (CPA 02 : 29.12.91p),,,1,1,2,4
431,29.1Dp,Fabrication de transmissions hydrauliques et pneumatiques,28.12Zp,Fabrication d'équipements hydrauliques et pneumatiques,"CC : tout sauf NC                                                                                                                                                                 NC : installation (CPA 02 : 29.12.91p), réparations (CPA 02 : 29.12.92p)",,,1,1,2,1
575,29.1Dp,Fabrication de transmissions hydrauliques et pneumatiques,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparations (CPA 02 : 29.12.92p),,,1,1,4,2
655,29.1Dp,Fabrication de transmissions hydrauliques et pneumatiques,33.20Bp,Installation de machines et équipements mécaniques,CA :  installation (CPA 02 : 29.12.91p),,,1,1,3,3
434,29.1Ep,Fabrication de compresseurs,28.13Zp,Fabrication d'autres pompes et compresseurs,"CC : tout sauf NC
NC : installation (CPA 02 : 29.12.91p), réparations (CPA 02 : 29.12.92p)",,,1,1,2,1
576,29.1Ep,Fabrication de compresseurs,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparations (CPA 02 : 29.12.92p),,,1,1,5,2
656,29.1Ep,Fabrication de compresseurs,33.20Bp,Installation de machines et équipements mécaniques,CA :  installation (CPA 02 : 29.12.91p),,,1,1,4,3
432,29.1Fp,Fabrication d'articles de robinetterie,28.12Zp,Fabrication d'équipements hydrauliques et pneumatiques,CA : fabrication de valves hydrauliques et pneumatiques ,,,1,1,3,1
435,29.1Fp,Fabrication d'articles de robinetterie,28.14Z,Fabrication d'autres articles de robinetterie,"CC : tout sauf NC
NC : -  fabrication de valves hydrauliques et pneumatiques                 
- installation (CPA 02 : 29.13.91), réparation (CPA 02 : 29.13.92)",,,0,1,1,2
577,29.1Fp,Fabrication d'articles de robinetterie,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.13.92),,,1,1,6,3
657,29.1Fp,Fabrication d'articles de robinetterie,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.13.91),,,1,1,5,4
436,29.1Hp,Fabrication de roulements,28.15Zp,Fabrication d'engrenages et d'organes mécaniques de transmission,"CC : tout sauf NC
NC : installation et réparation (CPA 02 : 29.14.90p)",,,1,1,1,1
578,29.1Hp,Fabrication de roulements,33.12Zp,Réparation de machines et équipements mécaniques,CA :réparation (CPA 02 : 29.14.90p),,,1,1,7,2
658,29.1Hp,Fabrication de roulements,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.14.90p),,,1,1,6,3
437,29.1Jp,Fabrication d'organes mécaniques de transmission,28.15Zp,Fabrication d'engrenages et d'organes mécaniques de transmission,"CC : tout sauf NC
NC : installation et réparation (CPA 02 : 29.14.90p)",,,1,1,2,1
579,29.1Jp,Fabrication d'organes mécaniques de transmission,33.12Zp,Réparation de machines et équipements mécaniques,CA :réparation (CPA 02 : 29.14.90p),,,1,1,8,2
659,29.1Jp,Fabrication d'organes mécaniques de transmission,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.14.90p),,,1,1,7,3
438,29.2Ap,Fabrication de fours et brûleurs,28.21Zp,Fabrication de fours et brûleurs,"CC : tout sauf NC
NC : installation (CPA 02 : 29.21.91), réparation (CPA 02 : 29.21.92)",,,1,1,1,1
580,29.2Ap,Fabrication de fours et brûleurs,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation  (CPA 02 : 29.21.92),,,1,1,9,2
660,29.2Ap,Fabrication de fours et brûleurs,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.21.91),,,1,1,8,3
441,29.2Cp,"Fabrication d'ascenseurs, monte-charges et escaliers mécaniques",28.22Zp,Fabrication de matériel de levage et de manutention,"CC : tout sauf NC                                                                                                                                                                                 NC : réparation d'ascenseurs, monte-charges et escaliers mécaniques (CPA 02 : 29.22.92p) ",,,1,1,1,1
769,29.2Cp,"Fabrication d'ascenseurs, monte-charges et escaliers mécaniques",43.29Bp,Autres travaux d'installation n.c.a.,"CA : réparation d' ascenseurs, escaliers mécaniques (CPA 02 : 29.22.92p)
",,,1,1,1,2
442,29.2Dp,Fabrication d'équipements de levage et de manutention,28.22Zp,Fabrication de matériel de levage et de manutention,"CC : tout sauf NC                                                                                                                                                                                  NC : installation (CPA 02 : 29.22.91), réparation (CPA 02 : 29.22.92p) ",,,1,1,2,1
581,29.2Dp,Fabrication d'équipements de levage et de manutention,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation d'équipements de levage et de manutention (CPA 02 : 29.22.92p),,,1,1,10,2
661,29.2Dp,Fabrication d'équipements de levage et de manutention,33.20Bp,Installation de machines et équipements mécaniques,CA : installation d'équipements de levage et de manutention (CPA 02 : 29.22.91)                                                                                            ,,,1,1,9,3
448,29.2Fp,Fabrication d'équipements aérauliques et frigorifiques industriels,28.25Zp,Fabrication d'équipements aérauliques et frigorifiques industriels,"CC: tout sauf NC
NC :  installation (CPA 02 : 29.23.91), réparation (29.23.92)",,,1,1,1,1
582,29.2Fp,Fabrication d'équipements aérauliques et frigorifiques industriels,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.23.92)                                                       ,,,1,1,11,2
662,29.2Fp,Fabrication d'équipements aérauliques et frigorifiques industriels,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.23.91)                                                       ,,,1,1,10,3
450,29.2Hp,Fabrication d'équipements d'emballage et de conditionnement,28.29Ap,"Fabrication d'équipements d'emballage, de conditionnement et de pesage ","CC : tout sauf NC                                                                                            NC : - fabrication de matériels type distillation, filtration, centrifugation à destination médico-chirurgicale
- installation (CPA 02 : 29.24.91p), réparation (CPA 02 : 29.24.92p)                                                                                                                                                                                          ",,,1,1,1,1
537,29.2Hp,Fabrication d'équipements d'emballage et de conditionnement,32.50Ap,Fabrication de matériels médico-chirurgical et dentaire,"CA : fabrication de matériels type distillation, filtration, centrifugation à destination médico-chirurgicale",,,1,1,6,2
583,29.2Hp,Fabrication d'équipements d'emballage et de conditionnement,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.24.92p) ,,,1,1,12,3
663,29.2Hp,Fabrication d'équipements d'emballage et de conditionnement,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.24.91p),,,1,1,11,4
451,29.2Jp,Fabrication d'appareils de pesage,28.29Ap,"Fabrication d'équipements d'emballage, de conditionnement et de pesage ","CC : tout sauf NC                                                                                            
NC :  - installation (CPA 02 : 29.24.91p), réparation (CPA 02 : 29.24.92p)                                                                                                                                                                                          ",,,1,1,2,1
584,29.2Jp,Fabrication d'appareils de pesage,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.24.92p),,,1,1,13,2
664,29.2Jp,Fabrication d'appareils de pesage,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.24.91p),,,1,1,12,3
453,29.2Lp,Fabrication de matériels pour les industries chimiques,28.29Bp,Fabrication d'autres machines d'usage général,"CC : tout sauf NC                                                                                            
NC :  - fabrication de matériels type distillation, filtration, centrifugation à destination médico-chirurgicale
- installation (CPA 02 : 29.24.91p), réparation (CPA 02 : 29.24.92p)                                                                                                                                                                                          ",,,1,1,1,1
538,29.2Lp,Fabrication de matériels pour les industries chimiques,32.50Ap,Fabrication de matériels médico-chirurgical et dentaire,"CA : fabrication de matériels type distillation, filtration, centrifugation à destination médico-chirurgicale",,,1,1,7,2
585,29.2Lp,Fabrication de matériels pour les industries chimiques,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.24.92p ) sauf appareils de distillation à destination médico-chirurgicale,,,1,1,14,3
606,29.2Lp,Fabrication de matériels pour les industries chimiques,33.13Zp,Réparation de matériels électroniques et optiques,CA : réparation de matériel de distillation à destination médico-chirurgicale (CPA 02 : 29.24.92p),,,1,1,1,4
665,29.2Lp,Fabrication de matériels pour les industries chimiques,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.24.91p),,,1,1,13,5
454,29.2Mp,Fabrication d'autres machines d'usage général,28.29Bp,Fabrication d'autres machines d'usage général,"CC : tout sauf NC                                                                                                                                                                                               NC : - fabrication de matériels type distillation, filtration, centrifugation à destination médico-chirurgicale
- installation (CPA 02 : 29.24.91p), réparation (CPA 02 : 29.24.92p)
                                                                                                                                                                                           ",,,1,1,2,1
539,29.2Mp,Fabrication d'autres machines d'usage général,32.50Ap,Fabrication de matériels médico-chirurgical et dentaire,"CA : fabrication de matériels type distillation, filtration, centrifugation à destination médico-chirurgicale",,,1,1,8,2
586,29.2Mp,Fabrication d'autres machines d'usage général,33.12Zp,Réparation de machines et équipements mécaniques,"CA : réparation (CPA 02 : 29.24.92p + 29.23.92p) 
NC : réparation de centrifugeuses, de machines à nettoyer à ultrasons à destination médico-chirurgicale (CPA 02 : 29.24.92p)",,,1,1,15,3
607,29.2Mp,Fabrication d'autres machines d'usage général,33.13Zp,Réparation de matériels électroniques et optiques,"CA : réparation de centrifugeuses, de machines à nettoyer à ultrasons à destination médico-chirurgicale (CPA 02 : 29.24.92p)",,,1,1,2,4
666,29.2Mp,Fabrication d'autres machines d'usage général,33.20Bp,Installation de machines et équipements mécaniques,CA : installation (CPA 02 : 29.24.91p + 29.23.91p)),,,1,1,14,5
456,29.3Ap,Fabrication de tracteurs agricoles,28.30Zp,Fabrication de machines agricoles et forestières,"CC : tout sauf NC                                                                                     
NC : réparation (CPA 02 : 29.31.90) ",,,1,1,1,1
587,29.3Ap,Fabrication de tracteurs agricoles,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.31.90),,,1,1,16,2
588,29.3Cp,Réparation de matériel agricole,33.12Zp,Réparation de machines et équipements mécaniques,CA : réparation (CPA 02 : 29.32.92p) sauf tondeuses à gazon,,,1,1,17,1
1303,29.3Cp,Réparation de matériel agricole,95.22Zp,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin,CA : réparation de tondeuses à gazon (CPA 02 : 29.32.92p),,,1,1,1,2
457,29.3Dp,Fabrication de matériel agricole,28.30Zp,Fabrication de machines agricoles et forestières,"CC : tout sauf NC                                                                                              
NC :  - fabrication de machines  pour le nettoyage, le tri ou le calibrage de semences, de grains ou de légumes à cosse secs  (CPA 02 : 29.32.64) 
- installation (CPA 02 : 29.32.91), réparation (29.32.92) ",,,1,1,2,1
